자치구,행정동,행정동코드,A_인프라,B_외출커뮤적은,C_배달의존,D_이동저하,E_독거비율,Dependency
금천구,시흥1동,11545670,0.7339545787569718,0.45624779004870253,0.981651376146789,0.5346771061185274,0.25792338721679414,67.0
강남구,논현2동,11680531,0.8382960577659063,0.34831963278296496,0.9266055045871561,0.5308829241368032,0.25974367694263506,66.4
구로구,가리봉동,11530595,0.5932135859128994,0.5620432922242361,0.4495412844036698,0.8111167896641251,0.5434430942440991,65.3
중구,명동,11140550,0.8001455338081057,0.2276065255236069,0.4954128440366973,0.8032504037451191,0.6429057877398684,65.2
영등포구,당산1동,11560550,0.7674263620010794,0.2906878426713415,0.9266055045871561,0.6423451969662901,0.31454813991326663,64.8
구로구,구로5동,11530560,0.7132177473702933,0.4160312875135804,1.0,0.5388392583355481,0.2343697968995708,64.6
중구,광희동,11140590,0.7642505350379808,0.23296727530263545,0.7155963302752294,0.778314287466525,0.4807032544933371,64.5
은평구,역촌동,11380625,0.7194144080371275,0.44959178540388084,0.981651376146789,0.5030234887666865,0.18851283616017506,63.8
송파구,석촌동,11710600,0.7698125387307143,0.4209793144937404,0.8348623853211009,0.4919148762189014,0.2845420152941924,63.6
송파구,방이2동,11710562,0.7685611208556321,0.37403248400380357,0.889908256880734,0.5262342334975572,0.26075743850414745,63.3
강북구,수유3동,11305635,0.761614398482923,0.3231378892240026,0.6788990825688074,0.672588261749494,0.42168257944752374,63.2
광진구,화양동,11215710,0.782184779864255,0.1957390332370599,0.8715596330275229,0.6139910460576079,0.44838913881721465,63.0
동대문구,장안2동,11230660,0.7071962867386369,0.3966576903210822,0.9724770642201835,0.5525849909029581,0.2130702947902351,62.8
양천구,신정4동,11470650,0.7382537154691972,0.35583853544469257,0.9908256880733947,0.49045934951039527,0.26058781964589295,62.7
서초구,서초3동,11650530,0.8425014186143068,0.35798354008557787,0.9908256880733947,0.36923359977104075,0.15044189455525964,62.3
송파구,잠실본동,11710650,0.7827458771849657,0.36875726117424984,0.889908256880734,0.46914160721221654,0.25082497887298416,62.2
동대문구,전농1동,11230560,0.6969253685859217,0.39344403157512514,0.8807339449541284,0.5886706053110371,0.25625350604264735,61.9
금천구,독산1동,11545610,0.7646506561964809,0.2950415798170947,1.0,0.5097041928164034,0.23493962229299878,61.7
구로구,구로3동,11530540,0.7928418530218743,0.3261635000221423,0.7706422018348623,0.635648138683893,0.227247256600862,61.6
강북구,송천동,11305555,0.6511131010646874,0.3647760507424171,0.8440366972477066,0.6477012081689393,0.3458105941196786,61.3
중구,신당동,11140615,0.6490446608454189,0.38287484668608607,0.6513761467889908,0.7247623525563709,0.42672946378792176,61.1
마포구,공덕동,11440565,0.706026216395138,0.340906122343774,1.0,0.566555594169716,0.1915628348283823,61.1
강서구,등촌3동,11500535,0.6406052725233701,0.3682816526098254,0.944954128440367,0.5400576486701965,0.3453487482599402,60.8
송파구,가락본동,11710620,0.7817917180433885,0.3451953793390722,0.9541284403669726,0.4733732649181266,0.15296657065822605,60.6
도봉구,방학1동,11320690,0.6926280311027834,0.36529841820299574,0.944954128440367,0.5256454811210827,0.25349039975289167,60.6
중랑구,면목2동,11260520,0.633002032028335,0.37043861224346214,0.8073394495412846,0.6333421918760349,0.3904820502354275,60.5
노원구,공릉1동,11350595,0.7254218834224196,0.3442526494516178,1.0,0.45738700247357755,0.21629075367572959,60.2
관악구,신림동,11620695,0.701437171601727,0.21758980721113047,0.6422018348623855,0.7390845718257457,0.552225500237026,60.2
은평구,대조동,11380570,0.725294363806933,0.30651642547520774,0.8623853211009175,0.5326655354989063,0.3432171304845287,60.2
서대문구,연희동,11410615,0.7152213239351962,0.44081569635580475,0.8715596330275229,0.4528814113702804,0.1898069144798503,59.7
광진구,자양4동,11215847,0.6848192824930229,0.40203905263759787,0.7522935779816514,0.5089355438804506,0.37038140510170203,59.6
은평구,응암3동,11380600,0.6929859145070792,0.2961234403222243,0.7889908256880734,0.6174458777112253,0.3861586517927208,59.6
성동구,마장동,11200540,0.8409251066646856,0.31972634758689134,0.6422018348623855,0.6443853874931007,0.16898583954355986,59.5
성북구,석관동,11290810,0.6717193721725868,0.38000500079191274,0.9082568807339452,0.5451397264754585,0.23835980341920074,59.5
중랑구,상봉2동,11260590,0.7101516551194195,0.24846085440800697,0.8348623853211009,0.5614448964572643,0.43422180716483366,59.4
서대문구,신촌동,11410585,0.828870285428244,0.1885145840130261,0.6788990825688074,0.6612915755258908,0.3512420742836988,59.4
강동구,성내2동,11740650,0.6722659372434373,0.2776033786664102,0.7981651376146789,0.6078990943843654,0.4391607516273504,59.1
서초구,양재2동,11650652,0.7919919176877471,0.2614165043092611,0.8715596330275229,0.45610319520820997,0.3009461097121313,59.0
